quarter,series,category,subcategory,value,unit
2010-Q1,saleable_production,Open Cut,Coking,23384051,tonnes
2010-Q2,saleable_production,Open Cut,Coking,27233864,tonnes
2010-Q3,saleable_production,Open Cut,Coking,26932341,tonnes
2010-Q4,saleable_production,Open Cut,Coking,21258601,tonnes
2011-Q1,saleable_production,Open Cut,Coking,15303856,tonnes
2011-Q2,saleable_production,Open Cut,Coking,20830499,tonnes
2011-Q3,saleable_production,Open Cut,Coking,24425910,tonnes
2011-Q4,saleable_production,Open Cut,Coking,25668842,tonnes
2012-Q1,saleable_production,Open Cut,Coking,21986560,tonnes
2012-Q2,saleable_production,Open Cut,Coking,23503974,tonnes
2012-Q3,saleable_production,Open Cut,Coking,26035179,tonnes
2012-Q4,saleable_production,Open Cut,Coking,26972962,tonnes
2013-Q1,saleable_production,Open Cut,Coking,23588656,tonnes
2013-Q2,saleable_production,Open Cut,Coking,27619046,tonnes
2013-Q3,saleable_production,Open Cut,Coking,28846166,tonnes
2013-Q4,saleable_production,Open Cut,Coking,31187848,tonnes
2014-Q1,saleable_production,Open Cut,Coking,29857890,tonnes
2014-Q2,saleable_production,Open Cut,Coking,31258367,tonnes
2014-Q3,saleable_production,Open Cut,Coking,33212913,tonnes
2014-Q4,saleable_production,Open Cut,Coking,33871877,tonnes
2015-Q1,saleable_production,Open Cut,Coking,29400677,tonnes
2015-Q2,saleable_production,Open Cut,Coking,33454381,tonnes
2015-Q3,saleable_production,Open Cut,Coking,32869263,tonnes
2015-Q4,saleable_production,Open Cut,Coking,31035664,tonnes
2016-Q1,saleable_production,Open Cut,Coking,30085813,tonnes
2016-Q2,saleable_production,Open Cut,Coking,34447469,tonnes
2016-Q3,saleable_production,Open Cut,Coking,33430439,tonnes
2016-Q4,saleable_production,Open Cut,Coking,34734448,tonnes
2017-Q1,saleable_production,Open Cut,Coking,31065452,tonnes
2017-Q2,saleable_production,Open Cut,Coking,27203807,tonnes
2017-Q3,saleable_production,Open Cut,Coking,33271404,tonnes
2017-Q4,saleable_production,Open Cut,Coking,31351074,tonnes
2018-Q1,saleable_production,Open Cut,Coking,30844034,tonnes
2018-Q2,saleable_production,Open Cut,Coking,34680625,tonnes
2018-Q3,saleable_production,Open Cut,Coking,31095894,tonnes
2018-Q4,saleable_production,Open Cut,Coking,31227053,tonnes
2019-Q1,saleable_production,Open Cut,Coking,29791808,tonnes
2019-Q2,saleable_production,Open Cut,Coking,34814412,tonnes
2019-Q3,saleable_production,Open Cut,Coking,29913408,tonnes
2019-Q4,saleable_production,Open Cut,Coking,35034375,tonnes
2020-Q1,saleable_production,Open Cut,Coking,28710505,tonnes
2020-Q2,saleable_production,Open Cut,Coking,32192387,tonnes
2020-Q3,saleable_production,Open Cut,Coking,30442825,tonnes
2020-Q4,saleable_production,Open Cut,Coking,31572577,tonnes
2021-Q1,saleable_production,Open Cut,Coking,30766023,tonnes
2021-Q2,saleable_production,Open Cut,Coking,34344840,tonnes
2021-Q3,saleable_production,Open Cut,Coking,29540989,tonnes
2021-Q4,saleable_production,Open Cut,Coking,27688537,tonnes
2022-Q1,saleable_production,Open Cut,Coking,23027896,tonnes
2022-Q2,saleable_production,Open Cut,Coking,21005608,tonnes
2022-Q3,saleable_production,Open Cut,Coking,21140625,tonnes
2022-Q4,saleable_production,Open Cut,Coking,21349030,tonnes
2023-Q1,saleable_production,Open Cut,Coking,21320490,tonnes
2023-Q2,saleable_production,Open Cut,Coking,23452317,tonnes
2023-Q3,saleable_production,Open Cut,Coking,18790349,tonnes
2023-Q4,saleable_production,Open Cut,Coking,19405659,tonnes
2024-Q1,saleable_production,Open Cut,Coking,19468476,tonnes
2024-Q2,saleable_production,Open Cut,Coking,23048982,tonnes
2024-Q3,saleable_production,Open Cut,Coking,22568689,tonnes
2024-Q4,saleable_production,Open Cut,Coking,20993910,tonnes
2025-Q1,saleable_production,Open Cut,Coking,18534182,tonnes
2025-Q2,saleable_production,Open Cut,Coking,22556339,tonnes
2025-Q3,saleable_production,Open Cut,Coking,21663757,tonnes
2025-Q4,saleable_production,Open Cut,Coking,20670666,tonnes
2026-Q1,saleable_production,Open Cut,Coking,17290965,tonnes
2010-Q1,saleable_production,Open Cut,PCI,0,tonnes
2010-Q2,saleable_production,Open Cut,PCI,0,tonnes
2010-Q3,saleable_production,Open Cut,PCI,0,tonnes
2010-Q4,saleable_production,Open Cut,PCI,0,tonnes
2011-Q1,saleable_production,Open Cut,PCI,0,tonnes
2011-Q2,saleable_production,Open Cut,PCI,0,tonnes
2011-Q3,saleable_production,Open Cut,PCI,0,tonnes
2011-Q4,saleable_production,Open Cut,PCI,0,tonnes
2012-Q1,saleable_production,Open Cut,PCI,0,tonnes
2012-Q2,saleable_production,Open Cut,PCI,0,tonnes
2012-Q3,saleable_production,Open Cut,PCI,0,tonnes
2012-Q4,saleable_production,Open Cut,PCI,0,tonnes
2013-Q1,saleable_production,Open Cut,PCI,0,tonnes
2013-Q2,saleable_production,Open Cut,PCI,0,tonnes
2013-Q3,saleable_production,Open Cut,PCI,0,tonnes
2013-Q4,saleable_production,Open Cut,PCI,0,tonnes
2014-Q1,saleable_production,Open Cut,PCI,0,tonnes
2014-Q2,saleable_production,Open Cut,PCI,0,tonnes
2014-Q3,saleable_production,Open Cut,PCI,0,tonnes
2014-Q4,saleable_production,Open Cut,PCI,0,tonnes
2015-Q1,saleable_production,Open Cut,PCI,0,tonnes
2015-Q2,saleable_production,Open Cut,PCI,0,tonnes
2015-Q3,saleable_production,Open Cut,PCI,0,tonnes
2015-Q4,saleable_production,Open Cut,PCI,0,tonnes
2016-Q1,saleable_production,Open Cut,PCI,0,tonnes
2016-Q2,saleable_production,Open Cut,PCI,0,tonnes
2016-Q3,saleable_production,Open Cut,PCI,0,tonnes
2016-Q4,saleable_production,Open Cut,PCI,0,tonnes
2017-Q1,saleable_production,Open Cut,PCI,0,tonnes
2017-Q2,saleable_production,Open Cut,PCI,0,tonnes
2017-Q3,saleable_production,Open Cut,PCI,0,tonnes
2017-Q4,saleable_production,Open Cut,PCI,0,tonnes
2018-Q1,saleable_production,Open Cut,PCI,0,tonnes
2018-Q2,saleable_production,Open Cut,PCI,0,tonnes
2018-Q3,saleable_production,Open Cut,PCI,0,tonnes
2018-Q4,saleable_production,Open Cut,PCI,0,tonnes
2019-Q1,saleable_production,Open Cut,PCI,0,tonnes
2019-Q2,saleable_production,Open Cut,PCI,0,tonnes
2019-Q3,saleable_production,Open Cut,PCI,0,tonnes
2019-Q4,saleable_production,Open Cut,PCI,0,tonnes
2020-Q1,saleable_production,Open Cut,PCI,0,tonnes
2020-Q2,saleable_production,Open Cut,PCI,0,tonnes
2020-Q3,saleable_production,Open Cut,PCI,0,tonnes
2020-Q4,saleable_production,Open Cut,PCI,0,tonnes
2021-Q1,saleable_production,Open Cut,PCI,0,tonnes
2021-Q2,saleable_production,Open Cut,PCI,0,tonnes
2021-Q3,saleable_production,Open Cut,PCI,0,tonnes
2021-Q4,saleable_production,Open Cut,PCI,0,tonnes
2022-Q1,saleable_production,Open Cut,PCI,7763709,tonnes
2022-Q2,saleable_production,Open Cut,PCI,7886898,tonnes
2022-Q3,saleable_production,Open Cut,PCI,8019737,tonnes
2022-Q4,saleable_production,Open Cut,PCI,8496375,tonnes
2023-Q1,saleable_production,Open Cut,PCI,6801290,tonnes
2023-Q2,saleable_production,Open Cut,PCI,7807254,tonnes
2023-Q3,saleable_production,Open Cut,PCI,9077517,tonnes
2023-Q4,saleable_production,Open Cut,PCI,9327415,tonnes
2024-Q1,saleable_production,Open Cut,PCI,7838468,tonnes
2024-Q2,saleable_production,Open Cut,PCI,7856558,tonnes
2024-Q3,saleable_production,Open Cut,PCI,8619733,tonnes
2024-Q4,saleable_production,Open Cut,PCI,9130928,tonnes
2025-Q1,saleable_production,Open Cut,PCI,8098689,tonnes
2025-Q2,saleable_production,Open Cut,PCI,9043210,tonnes
2025-Q3,saleable_production,Open Cut,PCI,9845107,tonnes
2025-Q4,saleable_production,Open Cut,PCI,10169204,tonnes
2026-Q1,saleable_production,Open Cut,PCI,8193353,tonnes
2010-Q1,saleable_production,Open Cut,Thermal,17325723,tonnes
2010-Q2,saleable_production,Open Cut,Thermal,20786305,tonnes
2010-Q3,saleable_production,Open Cut,Thermal,19819742,tonnes
2010-Q4,saleable_production,Open Cut,Thermal,18244680,tonnes
2011-Q1,saleable_production,Open Cut,Thermal,14419741,tonnes
2011-Q2,saleable_production,Open Cut,Thermal,18056249,tonnes
2011-Q3,saleable_production,Open Cut,Thermal,17742634,tonnes
2011-Q4,saleable_production,Open Cut,Thermal,17756894,tonnes
2012-Q1,saleable_production,Open Cut,Thermal,16236162,tonnes
2012-Q2,saleable_production,Open Cut,Thermal,16920258,tonnes
2012-Q3,saleable_production,Open Cut,Thermal,18458784,tonnes
2012-Q4,saleable_production,Open Cut,Thermal,18945694,tonnes
2013-Q1,saleable_production,Open Cut,Thermal,14436659,tonnes
2013-Q2,saleable_production,Open Cut,Thermal,19505005,tonnes
2013-Q3,saleable_production,Open Cut,Thermal,19954421,tonnes
2013-Q4,saleable_production,Open Cut,Thermal,17444578,tonnes
2014-Q1,saleable_production,Open Cut,Thermal,16961945,tonnes
2014-Q2,saleable_production,Open Cut,Thermal,18999110,tonnes
2014-Q3,saleable_production,Open Cut,Thermal,20455593,tonnes
2014-Q4,saleable_production,Open Cut,Thermal,18788098,tonnes
2015-Q1,saleable_production,Open Cut,Thermal,18298412,tonnes
2015-Q2,saleable_production,Open Cut,Thermal,19967087,tonnes
2015-Q3,saleable_production,Open Cut,Thermal,20706074,tonnes
2015-Q4,saleable_production,Open Cut,Thermal,19998103,tonnes
2016-Q1,saleable_production,Open Cut,Thermal,20029455,tonnes
2016-Q2,saleable_production,Open Cut,Thermal,19931482,tonnes
2016-Q3,saleable_production,Open Cut,Thermal,21390908,tonnes
2016-Q4,saleable_production,Open Cut,Thermal,21257119,tonnes
2017-Q1,saleable_production,Open Cut,Thermal,19910714,tonnes
2017-Q2,saleable_production,Open Cut,Thermal,19262541,tonnes
2017-Q3,saleable_production,Open Cut,Thermal,21934228,tonnes
2017-Q4,saleable_production,Open Cut,Thermal,22566491,tonnes
2018-Q1,saleable_production,Open Cut,Thermal,21554420,tonnes
2018-Q2,saleable_production,Open Cut,Thermal,22502343,tonnes
2018-Q3,saleable_production,Open Cut,Thermal,24887327,tonnes
2018-Q4,saleable_production,Open Cut,Thermal,22888986,tonnes
2019-Q1,saleable_production,Open Cut,Thermal,22357912,tonnes
2019-Q2,saleable_production,Open Cut,Thermal,22352254,tonnes
2019-Q3,saleable_production,Open Cut,Thermal,21984234,tonnes
2019-Q4,saleable_production,Open Cut,Thermal,20963575,tonnes
2020-Q1,saleable_production,Open Cut,Thermal,21569338,tonnes
2020-Q2,saleable_production,Open Cut,Thermal,21321040,tonnes
2020-Q3,saleable_production,Open Cut,Thermal,16858688,tonnes
2020-Q4,saleable_production,Open Cut,Thermal,17947097,tonnes
2021-Q1,saleable_production,Open Cut,Thermal,18163902,tonnes
2021-Q2,saleable_production,Open Cut,Thermal,18240483,tonnes
2021-Q3,saleable_production,Open Cut,Thermal,21569031,tonnes
2021-Q4,saleable_production,Open Cut,Thermal,18670732,tonnes
2022-Q1,saleable_production,Open Cut,Thermal,19889269,tonnes
2022-Q2,saleable_production,Open Cut,Thermal,20927736,tonnes
2022-Q3,saleable_production,Open Cut,Thermal,19912291,tonnes
2022-Q4,saleable_production,Open Cut,Thermal,20481198,tonnes
2023-Q1,saleable_production,Open Cut,Thermal,19332975,tonnes
2023-Q2,saleable_production,Open Cut,Thermal,22627693,tonnes
2023-Q3,saleable_production,Open Cut,Thermal,22765897,tonnes
2023-Q4,saleable_production,Open Cut,Thermal,22002924,tonnes
2024-Q1,saleable_production,Open Cut,Thermal,20279144,tonnes
2024-Q2,saleable_production,Open Cut,Thermal,22201016,tonnes
2024-Q3,saleable_production,Open Cut,Thermal,21785063,tonnes
2024-Q4,saleable_production,Open Cut,Thermal,23901303,tonnes
2025-Q1,saleable_production,Open Cut,Thermal,19439919,tonnes
2025-Q2,saleable_production,Open Cut,Thermal,22486921,tonnes
2025-Q3,saleable_production,Open Cut,Thermal,24583595,tonnes
2025-Q4,saleable_production,Open Cut,Thermal,23935920,tonnes
2026-Q1,saleable_production,Open Cut,Thermal,19366526,tonnes
2010-Q1,saleable_production,Underground,Coking,6413976,tonnes
2010-Q2,saleable_production,Underground,Coking,6957222,tonnes
2010-Q3,saleable_production,Underground,Coking,6667376,tonnes
2010-Q4,saleable_production,Underground,Coking,6283630,tonnes
2011-Q1,saleable_production,Underground,Coking,5868722,tonnes
2011-Q2,saleable_production,Underground,Coking,5585589,tonnes
2011-Q3,saleable_production,Underground,Coking,5583254,tonnes
2011-Q4,saleable_production,Underground,Coking,5599996,tonnes
2012-Q1,saleable_production,Underground,Coking,4021580,tonnes
2012-Q2,saleable_production,Underground,Coking,6210225,tonnes
2012-Q3,saleable_production,Underground,Coking,5196083,tonnes
2012-Q4,saleable_production,Underground,Coking,6291798,tonnes
2013-Q1,saleable_production,Underground,Coking,7866910,tonnes
2013-Q2,saleable_production,Underground,Coking,7615342,tonnes
2013-Q3,saleable_production,Underground,Coking,7521967,tonnes
2013-Q4,saleable_production,Underground,Coking,8096155,tonnes
2014-Q1,saleable_production,Underground,Coking,7949373,tonnes
2014-Q2,saleable_production,Underground,Coking,7708669,tonnes
2014-Q3,saleable_production,Underground,Coking,7763120,tonnes
2014-Q4,saleable_production,Underground,Coking,8070066,tonnes
2015-Q1,saleable_production,Underground,Coking,8968478,tonnes
2015-Q2,saleable_production,Underground,Coking,8800521,tonnes
2015-Q3,saleable_production,Underground,Coking,8319662,tonnes
2015-Q4,saleable_production,Underground,Coking,8788155,tonnes
2016-Q1,saleable_production,Underground,Coking,6350978,tonnes
2016-Q2,saleable_production,Underground,Coking,6792769,tonnes
2016-Q3,saleable_production,Underground,Coking,6958166,tonnes
2016-Q4,saleable_production,Underground,Coking,7287359,tonnes
2017-Q1,saleable_production,Underground,Coking,8169735,tonnes
2017-Q2,saleable_production,Underground,Coking,5716202,tonnes
2017-Q3,saleable_production,Underground,Coking,8168399,tonnes
2017-Q4,saleable_production,Underground,Coking,7349826,tonnes
2018-Q1,saleable_production,Underground,Coking,7085682,tonnes
2018-Q2,saleable_production,Underground,Coking,7131490,tonnes
2018-Q3,saleable_production,Underground,Coking,7350913,tonnes
2018-Q4,saleable_production,Underground,Coking,7094805,tonnes
2019-Q1,saleable_production,Underground,Coking,6203366,tonnes
2019-Q2,saleable_production,Underground,Coking,8311209,tonnes
2019-Q3,saleable_production,Underground,Coking,8000506,tonnes
2019-Q4,saleable_production,Underground,Coking,8128274,tonnes
2020-Q1,saleable_production,Underground,Coking,5776747,tonnes
2020-Q2,saleable_production,Underground,Coking,5079574,tonnes
2020-Q3,saleable_production,Underground,Coking,5772377,tonnes
2020-Q4,saleable_production,Underground,Coking,6105312,tonnes
2021-Q1,saleable_production,Underground,Coking,4829916,tonnes
2021-Q2,saleable_production,Underground,Coking,4513390,tonnes
2021-Q3,saleable_production,Underground,Coking,5356390,tonnes
2021-Q4,saleable_production,Underground,Coking,5725647,tonnes
2022-Q1,saleable_production,Underground,Coking,3732591,tonnes
2022-Q2,saleable_production,Underground,Coking,4056153,tonnes
2022-Q3,saleable_production,Underground,Coking,6404671,tonnes
2022-Q4,saleable_production,Underground,Coking,5317847,tonnes
2023-Q1,saleable_production,Underground,Coking,4783941,tonnes
2023-Q2,saleable_production,Underground,Coking,3831023,tonnes
2023-Q3,saleable_production,Underground,Coking,4834374,tonnes
2023-Q4,saleable_production,Underground,Coking,5607119,tonnes
2024-Q1,saleable_production,Underground,Coking,4111992,tonnes
2024-Q2,saleable_production,Underground,Coking,5734962,tonnes
2024-Q3,saleable_production,Underground,Coking,5060593,tonnes
2024-Q4,saleable_production,Underground,Coking,2377952,tonnes
2025-Q1,saleable_production,Underground,Coking,3580426,tonnes
2025-Q2,saleable_production,Underground,Coking,3285274,tonnes
2025-Q3,saleable_production,Underground,Coking,3800041,tonnes
2025-Q4,saleable_production,Underground,Coking,4591875,tonnes
2026-Q1,saleable_production,Underground,Coking,3389354,tonnes
2010-Q1,saleable_production,Underground,PCI,0,tonnes
2010-Q2,saleable_production,Underground,PCI,0,tonnes
2010-Q3,saleable_production,Underground,PCI,0,tonnes
2010-Q4,saleable_production,Underground,PCI,0,tonnes
2011-Q1,saleable_production,Underground,PCI,0,tonnes
2011-Q2,saleable_production,Underground,PCI,0,tonnes
2011-Q3,saleable_production,Underground,PCI,0,tonnes
2011-Q4,saleable_production,Underground,PCI,0,tonnes
2012-Q1,saleable_production,Underground,PCI,0,tonnes
2012-Q2,saleable_production,Underground,PCI,0,tonnes
2012-Q3,saleable_production,Underground,PCI,0,tonnes
2012-Q4,saleable_production,Underground,PCI,0,tonnes
2013-Q1,saleable_production,Underground,PCI,0,tonnes
2013-Q2,saleable_production,Underground,PCI,0,tonnes
2013-Q3,saleable_production,Underground,PCI,0,tonnes
2013-Q4,saleable_production,Underground,PCI,0,tonnes
2014-Q1,saleable_production,Underground,PCI,0,tonnes
2014-Q2,saleable_production,Underground,PCI,0,tonnes
2014-Q3,saleable_production,Underground,PCI,0,tonnes
2014-Q4,saleable_production,Underground,PCI,0,tonnes
2015-Q1,saleable_production,Underground,PCI,0,tonnes
2015-Q2,saleable_production,Underground,PCI,0,tonnes
2015-Q3,saleable_production,Underground,PCI,0,tonnes
2015-Q4,saleable_production,Underground,PCI,0,tonnes
2016-Q1,saleable_production,Underground,PCI,0,tonnes
2016-Q2,saleable_production,Underground,PCI,0,tonnes
2016-Q3,saleable_production,Underground,PCI,0,tonnes
2016-Q4,saleable_production,Underground,PCI,0,tonnes
2017-Q1,saleable_production,Underground,PCI,0,tonnes
2017-Q2,saleable_production,Underground,PCI,0,tonnes
2017-Q3,saleable_production,Underground,PCI,0,tonnes
2017-Q4,saleable_production,Underground,PCI,0,tonnes
2018-Q1,saleable_production,Underground,PCI,0,tonnes
2018-Q2,saleable_production,Underground,PCI,0,tonnes
2018-Q3,saleable_production,Underground,PCI,0,tonnes
2018-Q4,saleable_production,Underground,PCI,0,tonnes
2019-Q1,saleable_production,Underground,PCI,0,tonnes
2019-Q2,saleable_production,Underground,PCI,0,tonnes
2019-Q3,saleable_production,Underground,PCI,0,tonnes
2019-Q4,saleable_production,Underground,PCI,0,tonnes
2020-Q1,saleable_production,Underground,PCI,0,tonnes
2020-Q2,saleable_production,Underground,PCI,0,tonnes
2020-Q3,saleable_production,Underground,PCI,0,tonnes
2020-Q4,saleable_production,Underground,PCI,0,tonnes
2021-Q1,saleable_production,Underground,PCI,0,tonnes
2021-Q2,saleable_production,Underground,PCI,0,tonnes
2021-Q3,saleable_production,Underground,PCI,0,tonnes
2021-Q4,saleable_production,Underground,PCI,0,tonnes
2022-Q1,saleable_production,Underground,PCI,77520,tonnes
2022-Q2,saleable_production,Underground,PCI,75219,tonnes
2022-Q3,saleable_production,Underground,PCI,92177,tonnes
2022-Q4,saleable_production,Underground,PCI,135369,tonnes
2023-Q1,saleable_production,Underground,PCI,56431,tonnes
2023-Q2,saleable_production,Underground,PCI,56575,tonnes
2023-Q3,saleable_production,Underground,PCI,31870,tonnes
2023-Q4,saleable_production,Underground,PCI,112091,tonnes
2024-Q1,saleable_production,Underground,PCI,33003,tonnes
2024-Q2,saleable_production,Underground,PCI,85850,tonnes
2024-Q3,saleable_production,Underground,PCI,63370,tonnes
2024-Q4,saleable_production,Underground,PCI,45851,tonnes
2025-Q1,saleable_production,Underground,PCI,24191,tonnes
2025-Q2,saleable_production,Underground,PCI,56251,tonnes
2025-Q3,saleable_production,Underground,PCI,58458,tonnes
2025-Q4,saleable_production,Underground,PCI,84165,tonnes
2026-Q1,saleable_production,Underground,PCI,69465,tonnes
2010-Q1,saleable_production,Underground,Thermal,180911,tonnes
2010-Q2,saleable_production,Underground,Thermal,259103,tonnes
2010-Q3,saleable_production,Underground,Thermal,198105,tonnes
2010-Q4,saleable_production,Underground,Thermal,155510,tonnes
2011-Q1,saleable_production,Underground,Thermal,140430,tonnes
2011-Q2,saleable_production,Underground,Thermal,68562,tonnes
2011-Q3,saleable_production,Underground,Thermal,142348,tonnes
2011-Q4,saleable_production,Underground,Thermal,92382,tonnes
2012-Q1,saleable_production,Underground,Thermal,80478,tonnes
2012-Q2,saleable_production,Underground,Thermal,138268,tonnes
2012-Q3,saleable_production,Underground,Thermal,118132,tonnes
2012-Q4,saleable_production,Underground,Thermal,102026,tonnes
2013-Q1,saleable_production,Underground,Thermal,217951,tonnes
2013-Q2,saleable_production,Underground,Thermal,127774,tonnes
2013-Q3,saleable_production,Underground,Thermal,485712,tonnes
2013-Q4,saleable_production,Underground,Thermal,107215,tonnes
2014-Q1,saleable_production,Underground,Thermal,107422,tonnes
2014-Q2,saleable_production,Underground,Thermal,127676,tonnes
2014-Q3,saleable_production,Underground,Thermal,129430,tonnes
2014-Q4,saleable_production,Underground,Thermal,170649,tonnes
2015-Q1,saleable_production,Underground,Thermal,171374,tonnes
2015-Q2,saleable_production,Underground,Thermal,201959,tonnes
2015-Q3,saleable_production,Underground,Thermal,138093,tonnes
2015-Q4,saleable_production,Underground,Thermal,248422,tonnes
2016-Q1,saleable_production,Underground,Thermal,187221,tonnes
2016-Q2,saleable_production,Underground,Thermal,168659,tonnes
2016-Q3,saleable_production,Underground,Thermal,334400,tonnes
2016-Q4,saleable_production,Underground,Thermal,273088,tonnes
2017-Q1,saleable_production,Underground,Thermal,167592,tonnes
2017-Q2,saleable_production,Underground,Thermal,174793,tonnes
2017-Q3,saleable_production,Underground,Thermal,263851,tonnes
2017-Q4,saleable_production,Underground,Thermal,200612,tonnes
2018-Q1,saleable_production,Underground,Thermal,76635,tonnes
2018-Q2,saleable_production,Underground,Thermal,227765,tonnes
2018-Q3,saleable_production,Underground,Thermal,189666,tonnes
2018-Q4,saleable_production,Underground,Thermal,114138,tonnes
2019-Q1,saleable_production,Underground,Thermal,294535,tonnes
2019-Q2,saleable_production,Underground,Thermal,205168,tonnes
2019-Q3,saleable_production,Underground,Thermal,156049,tonnes
2019-Q4,saleable_production,Underground,Thermal,303574,tonnes
2020-Q1,saleable_production,Underground,Thermal,378271,tonnes
2020-Q2,saleable_production,Underground,Thermal,263946,tonnes
2020-Q3,saleable_production,Underground,Thermal,155942,tonnes
2020-Q4,saleable_production,Underground,Thermal,426861,tonnes
2021-Q1,saleable_production,Underground,Thermal,363575,tonnes
2021-Q2,saleable_production,Underground,Thermal,367377,tonnes
2021-Q3,saleable_production,Underground,Thermal,271714,tonnes
2021-Q4,saleable_production,Underground,Thermal,394402,tonnes
2022-Q1,saleable_production,Underground,Thermal,390332,tonnes
2022-Q2,saleable_production,Underground,Thermal,340679,tonnes
2022-Q3,saleable_production,Underground,Thermal,457666,tonnes
2022-Q4,saleable_production,Underground,Thermal,369247,tonnes
2023-Q1,saleable_production,Underground,Thermal,279854,tonnes
2023-Q2,saleable_production,Underground,Thermal,350627,tonnes
2023-Q3,saleable_production,Underground,Thermal,403463,tonnes
2023-Q4,saleable_production,Underground,Thermal,348389,tonnes
2024-Q1,saleable_production,Underground,Thermal,181463,tonnes
2024-Q2,saleable_production,Underground,Thermal,283185,tonnes
2024-Q3,saleable_production,Underground,Thermal,350685,tonnes
2024-Q4,saleable_production,Underground,Thermal,157589,tonnes
2025-Q1,saleable_production,Underground,Thermal,214472,tonnes
2025-Q2,saleable_production,Underground,Thermal,281976,tonnes
2025-Q3,saleable_production,Underground,Thermal,299925,tonnes
2025-Q4,saleable_production,Underground,Thermal,498441,tonnes
2026-Q1,saleable_production,Underground,Thermal,283315,tonnes
2010-Q1,raw_production,Open Cut,,47936053,tonnes
2010-Q2,raw_production,Open Cut,,59310655,tonnes
2010-Q3,raw_production,Open Cut,,58781459,tonnes
2010-Q4,raw_production,Open Cut,,47213391,tonnes
2011-Q1,raw_production,Open Cut,,37630992,tonnes
2011-Q2,raw_production,Open Cut,,51855185,tonnes
2011-Q3,raw_production,Open Cut,,55919004,tonnes
2011-Q4,raw_production,Open Cut,,57852195,tonnes
2012-Q1,raw_production,Open Cut,,44966372,tonnes
2012-Q2,raw_production,Open Cut,,53224301,tonnes
2012-Q3,raw_production,Open Cut,,58596797,tonnes
2012-Q4,raw_production,Open Cut,,59923051,tonnes
2013-Q1,raw_production,Open Cut,,49293068,tonnes
2013-Q2,raw_production,Open Cut,,61366620,tonnes
2013-Q3,raw_production,Open Cut,,62220470,tonnes
2013-Q4,raw_production,Open Cut,,58562104,tonnes
2014-Q1,raw_production,Open Cut,,57413167,tonnes
2014-Q2,raw_production,Open Cut,,68608665,tonnes
2014-Q3,raw_production,Open Cut,,66664714,tonnes
2014-Q4,raw_production,Open Cut,,63861578,tonnes
2015-Q1,raw_production,Open Cut,,58572898,tonnes
2015-Q2,raw_production,Open Cut,,67241251,tonnes
2015-Q3,raw_production,Open Cut,,66534782,tonnes
2015-Q4,raw_production,Open Cut,,65177069,tonnes
2016-Q1,raw_production,Open Cut,,57335561,tonnes
2016-Q2,raw_production,Open Cut,,69563242,tonnes
2016-Q3,raw_production,Open Cut,,67722832,tonnes
2016-Q4,raw_production,Open Cut,,67158317,tonnes
2017-Q1,raw_production,Open Cut,,61060617,tonnes
2017-Q2,raw_production,Open Cut,,59695233,tonnes
2017-Q3,raw_production,Open Cut,,68943799,tonnes
2017-Q4,raw_production,Open Cut,,66516886,tonnes
2018-Q1,raw_production,Open Cut,,62064192,tonnes
2018-Q2,raw_production,Open Cut,,70996939,tonnes
2018-Q3,raw_production,Open Cut,,66190062,tonnes
2018-Q4,raw_production,Open Cut,,66670221,tonnes
2019-Q1,raw_production,Open Cut,,61377029,tonnes
2019-Q2,raw_production,Open Cut,,73215120,tonnes
2019-Q3,raw_production,Open Cut,,64025306,tonnes
2019-Q4,raw_production,Open Cut,,70775464,tonnes
2020-Q1,raw_production,Open Cut,,58738894,tonnes
2020-Q2,raw_production,Open Cut,,66139244,tonnes
2020-Q3,raw_production,Open Cut,,63699791,tonnes
2020-Q4,raw_production,Open Cut,,62441367,tonnes
2021-Q1,raw_production,Open Cut,,62272687,tonnes
2021-Q2,raw_production,Open Cut,,66879556,tonnes
2021-Q3,raw_production,Open Cut,,61266511,tonnes
2021-Q4,raw_production,Open Cut,,56079172,tonnes
2022-Q1,raw_production,Open Cut,,63076825,tonnes
2022-Q2,raw_production,Open Cut,,59525341,tonnes
2022-Q3,raw_production,Open Cut,,62681206,tonnes
2022-Q4,raw_production,Open Cut,,64057169,tonnes
2023-Q1,raw_production,Open Cut,,58235715,tonnes
2023-Q2,raw_production,Open Cut,,69470264,tonnes
2023-Q3,raw_production,Open Cut,,64240628,tonnes
2023-Q4,raw_production,Open Cut,,64643615,tonnes
2024-Q1,raw_production,Open Cut,,59764188,tonnes
2024-Q2,raw_production,Open Cut,,68358932,tonnes
2024-Q3,raw_production,Open Cut,,69954654,tonnes
2024-Q4,raw_production,Open Cut,,68576847,tonnes
2025-Q1,raw_production,Open Cut,,57297101,tonnes
2025-Q2,raw_production,Open Cut,,72940201,tonnes
2025-Q3,raw_production,Open Cut,,74735029,tonnes
2025-Q4,raw_production,Open Cut,,72096979,tonnes
2026-Q1,raw_production,Open Cut,,57844494,tonnes
2010-Q1,raw_production,Underground,,12205654,tonnes
2010-Q2,raw_production,Underground,,11199125,tonnes
2010-Q3,raw_production,Underground,,11372689,tonnes
2010-Q4,raw_production,Underground,,8087764,tonnes
2011-Q1,raw_production,Underground,,9386879,tonnes
2011-Q2,raw_production,Underground,,9174848,tonnes
2011-Q3,raw_production,Underground,,8881952,tonnes
2011-Q4,raw_production,Underground,,8433332,tonnes
