financial_year,mine,mine_type,saleable_production_tonnes
FY2025,Gregory Crinum Mine - Open Cut,Open Cut,996992
FY2010,Grosvenor Mine,Underground,0
FY2011,Grosvenor Mine,Underground,0
FY2012,Grosvenor Mine,Underground,0
FY2013,Grosvenor Mine,Underground,0
FY2014,Grosvenor Mine,Underground,0
FY2015,Grosvenor Mine,Underground,121818
FY2016,Grosvenor Mine,Underground,860561
FY2017,Grosvenor Mine,Underground,2118173
FY2018,Grosvenor Mine,Underground,3341394
FY2019,Grosvenor Mine,Underground,3934598
FY2020,Grosvenor Mine,Underground,3461741
FY2021,Grosvenor Mine,Underground,4565
FY2022,Grosvenor Mine,Underground,1196651
FY2023,Grosvenor Mine,Underground,3717149
FY2024,Grosvenor Mine,Underground,4277435
FY2025,Grosvenor Mine,Underground,215788
FY2010,Hail Creek Mine,Open Cut,6631738
FY2011,Hail Creek Mine,Open Cut,6878982
FY2012,Hail Creek Mine,Open Cut,7485638
FY2013,Hail Creek Mine,Open Cut,7068582
FY2014,Hail Creek Mine,Open Cut,7737590
FY2015,Hail Creek Mine,Open Cut,9502986
FY2016,Hail Creek Mine,Open Cut,9527040
FY2017,Hail Creek Mine,Open Cut,9210745
FY2018,Hail Creek Mine,Open Cut,9532668
FY2019,Hail Creek Mine,Open Cut,9147956
FY2020,Hail Creek Mine,Open Cut,8456214
FY2021,Hail Creek Mine,Open Cut,5722544
FY2022,Hail Creek Mine,Open Cut,7798992
FY2023,Hail Creek Mine,Open Cut,7628135
FY2024,Hail Creek Mine,Open Cut,7873938
FY2025,Hail Creek Mine,Open Cut,7921770
FY2010,Ironbark No.1,Underground,0
FY2011,Ironbark No.1,Underground,0
FY2012,Ironbark No.1,Underground,0
FY2013,Ironbark No.1,Underground,0
FY2014,Ironbark No.1,Underground,0
FY2015,Ironbark No.1,Underground,0
FY2016,Ironbark No.1,Underground,0
FY2017,Ironbark No.1,Underground,0
FY2018,Ironbark No.1,Underground,0
FY2019,Ironbark No.1,Underground,0
FY2020,Ironbark No.1,Underground,0
FY2021,Ironbark No.1,Underground,0
FY2022,Ironbark No.1,Underground,0
FY2023,Ironbark No.1,Underground,126116
FY2024,Ironbark No.1,Underground,165721
FY2025,Ironbark No.1,Underground,511323
FY2010,Isaac Plains Complex,Open Cut,2116775
FY2011,Isaac Plains Complex,Open Cut,1736860
FY2012,Isaac Plains Complex,Open Cut,2427468
FY2013,Isaac Plains Complex,Open Cut,2000227
FY2014,Isaac Plains Complex,Open Cut,1971821
FY2015,Isaac Plains Complex,Open Cut,1196746
FY2016,Isaac Plains Complex,Open Cut,231025
FY2017,Isaac Plains Complex,Open Cut,1204284
FY2018,Isaac Plains Complex,Open Cut,1128086
FY2019,Isaac Plains Complex,Open Cut,2390450
FY2020,Isaac Plains Complex,Open Cut,2390026
FY2021,Isaac Plains Complex,Open Cut,1925983
FY2022,Isaac Plains Complex,Open Cut,2379099
FY2023,Isaac Plains Complex,Open Cut,2912682
FY2024,Isaac Plains Complex,Open Cut,2508665
FY2025,Isaac Plains Complex,Open Cut,2471856
FY2010,Jeebropilly Mine,Open Cut,915556
FY2011,Jeebropilly Mine,Open Cut,799230
FY2012,Jeebropilly Mine,Open Cut,837929
FY2013,Jeebropilly Mine,Open Cut,859598
FY2014,Jeebropilly Mine,Open Cut,752271
FY2015,Jeebropilly Mine,Open Cut,664217
FY2016,Jeebropilly Mine,Open Cut,667177
FY2017,Jeebropilly Mine,Open Cut,661467
FY2018,Jeebropilly Mine,Open Cut,674057
FY2019,Jeebropilly Mine,Open Cut,699301
FY2020,Jeebropilly Mine,Open Cut,276559
FY2021,Jeebropilly Mine,Open Cut,0
FY2022,Jeebropilly Mine,Open Cut,0
FY2023,Jeebropilly Mine,Open Cut,0
FY2024,Jeebropilly Mine,Open Cut,0
FY2025,Jeebropilly Mine,Open Cut,0
FY2010,Jellinbah Mine,Open Cut,4641406
FY2011,Jellinbah Mine,Open Cut,3750895
FY2012,Jellinbah Mine,Open Cut,4549875
FY2013,Jellinbah Mine,Open Cut,4806751
FY2014,Jellinbah Mine,Open Cut,5010176
FY2015,Jellinbah Mine,Open Cut,4532332
FY2016,Jellinbah Mine,Open Cut,5242308
FY2017,Jellinbah Mine,Open Cut,4825790
FY2018,Jellinbah Mine,Open Cut,5234208
FY2019,Jellinbah Mine,Open Cut,4780466
FY2020,Jellinbah Mine,Open Cut,4937647
FY2021,Jellinbah Mine,Open Cut,5188357
FY2022,Jellinbah Mine,Open Cut,4415014
FY2023,Jellinbah Mine,Open Cut,3772110
FY2024,Jellinbah Mine,Open Cut,5348178
FY2025,Jellinbah Mine,Open Cut,5992114
FY2010,Kestrel Mine,Underground,4385233
FY2011,Kestrel Mine,Underground,3436443
FY2012,Kestrel Mine,Underground,3852922
FY2013,Kestrel Mine,Underground,2494142
FY2014,Kestrel Mine,Underground,3444834
FY2015,Kestrel Mine,Underground,3379838
FY2016,Kestrel Mine,Underground,3764349
FY2017,Kestrel Mine,Underground,4947444
FY2018,Kestrel Mine,Underground,4975416
FY2019,Kestrel Mine,Underground,5958433
FY2020,Kestrel Mine,Underground,6612111
FY2021,Kestrel Mine,Underground,5342643
FY2022,Kestrel Mine,Underground,5914367
FY2023,Kestrel Mine,Underground,4843250
FY2024,Kestrel Mine,Underground,5124869
FY2025,Kestrel Mine,Underground,4089251
FY2010,Kogan Creek,Open Cut,2150360
FY2011,Kogan Creek,Open Cut,2525512
FY2012,Kogan Creek,Open Cut,1946665
FY2013,Kogan Creek,Open Cut,2558923
FY2014,Kogan Creek,Open Cut,2461869
FY2015,Kogan Creek,Open Cut,2660646
FY2016,Kogan Creek,Open Cut,2151209
FY2017,Kogan Creek,Open Cut,2708293
FY2018,Kogan Creek,Open Cut,2396336
FY2019,Kogan Creek,Open Cut,2820238
FY2020,Kogan Creek,Open Cut,1904339
FY2021,Kogan Creek,Open Cut,2406284
FY2022,Kogan Creek,Open Cut,2624555
FY2023,Kogan Creek,Open Cut,2081620
FY2024,Kogan Creek,Open Cut,2538874
FY2025,Kogan Creek,Open Cut,2215656
FY2010,Lake Vermont,Open Cut,3966226
FY2011,Lake Vermont,Open Cut,3382550
FY2012,Lake Vermont,Open Cut,3845580
FY2013,Lake Vermont,Open Cut,4787568
FY2014,Lake Vermont,Open Cut,7527102
FY2015,Lake Vermont,Open Cut,8338484
FY2016,Lake Vermont,Open Cut,8970878
FY2017,Lake Vermont,Open Cut,8838967
FY2018,Lake Vermont,Open Cut,9505343
FY2019,Lake Vermont,Open Cut,8567193
FY2020,Lake Vermont,Open Cut,6789656
FY2021,Lake Vermont,Open Cut,7994796
FY2022,Lake Vermont,Open Cut,9243389
FY2023,Lake Vermont,Open Cut,8719109
FY2024,Lake Vermont,Open Cut,9065142
FY2025,Lake Vermont,Open Cut,8564125
FY2010,Meandu Mine - Open Cut,Open Cut,4449789
FY2011,Meandu Mine - Open Cut,Open Cut,4218130
FY2012,Meandu Mine - Open Cut,Open Cut,4580987
FY2013,Meandu Mine - Open Cut,Open Cut,4057537
FY2014,Meandu Mine - Open Cut,Open Cut,3582171
FY2015,Meandu Mine - Open Cut,Open Cut,3429513
FY2016,Meandu Mine - Open Cut,Open Cut,4265614
FY2017,Meandu Mine - Open Cut,Open Cut,5573819
FY2018,Meandu Mine - Open Cut,Open Cut,6005935
FY2019,Meandu Mine - Open Cut,Open Cut,5809591
FY2020,Meandu Mine - Open Cut,Open Cut,5224640
FY2021,Meandu Mine - Open Cut,Open Cut,4963310
FY2022,Meandu Mine - Open Cut,Open Cut,5226251
FY2023,Meandu Mine - Open Cut,Open Cut,6073057
FY2024,Meandu Mine - Open Cut,Open Cut,5346529
FY2025,Meandu Mine - Open Cut,Open Cut,5002245
FY2010,Meteor Downs South Mine,Open Cut,0
FY2011,Meteor Downs South Mine,Open Cut,0
FY2012,Meteor Downs South Mine,Open Cut,0
FY2013,Meteor Downs South Mine,Open Cut,0
FY2014,Meteor Downs South Mine,Open Cut,0
FY2015,Meteor Downs South Mine,Open Cut,0
FY2016,Meteor Downs South Mine,Open Cut,0
FY2017,Meteor Downs South Mine,Open Cut,0
FY2018,Meteor Downs South Mine,Open Cut,18247
FY2019,Meteor Downs South Mine,Open Cut,454891
FY2020,Meteor Downs South Mine,Open Cut,570141
FY2021,Meteor Downs South Mine,Open Cut,1418318
FY2022,Meteor Downs South Mine,Open Cut,1389109
FY2023,Meteor Downs South Mine,Open Cut,1474666
FY2024,Meteor Downs South Mine,Open Cut,1322698
FY2025,Meteor Downs South Mine,Open Cut,1377029
FY2010,Middlemount Coal Mine,Open Cut,0
FY2011,Middlemount Coal Mine,Open Cut,63011
FY2012,Middlemount Coal Mine,Open Cut,1194600
FY2013,Middlemount Coal Mine,Open Cut,1913170
FY2014,Middlemount Coal Mine,Open Cut,3676865
FY2015,Middlemount Coal Mine,Open Cut,3998865
FY2016,Middlemount Coal Mine,Open Cut,4240407
FY2017,Middlemount Coal Mine,Open Cut,3863404
FY2018,Middlemount Coal Mine,Open Cut,4172070
FY2019,Middlemount Coal Mine,Open Cut,3444506
FY2020,Middlemount Coal Mine,Open Cut,2143486
FY2021,Middlemount Coal Mine,Open Cut,3517045
FY2022,Middlemount Coal Mine,Open Cut,3261371
FY2023,Middlemount Coal Mine,Open Cut,2249739
FY2024,Middlemount Coal Mine,Open Cut,2229035
FY2025,Middlemount Coal Mine,Open Cut,2495065
FY2010,Millennium Coal Mine,Open Cut,1159419
FY2011,Millennium Coal Mine,Open Cut,1617327
FY2012,Millennium Coal Mine,Open Cut,1977135
FY2013,Millennium Coal Mine,Open Cut,3189384
FY2014,Millennium Coal Mine,Open Cut,3485728
FY2015,Millennium Coal Mine,Open Cut,3736759
FY2016,Millennium Coal Mine,Open Cut,3888103
FY2017,Millennium Coal Mine,Open Cut,2755068
FY2018,Millennium Coal Mine,Open Cut,2879594
FY2019,Millennium Coal Mine,Open Cut,1147870
FY2020,Millennium Coal Mine,Open Cut,394772
FY2021,Millennium Coal Mine,Open Cut,0
FY2022,Millennium Coal Mine,Open Cut,375928
FY2023,Millennium Coal Mine,Open Cut,317773
FY2024,Millennium Coal Mine,Open Cut,422422
FY2025,Millennium Coal Mine,Open Cut,30150
FY2010,Minerva Mine,Open Cut,2826096
FY2011,Minerva Mine,Open Cut,2669055
FY2012,Minerva Mine,Open Cut,2819544
FY2013,Minerva Mine,Open Cut,2581416
FY2014,Minerva Mine,Open Cut,2720570
FY2015,Minerva Mine,Open Cut,2437431
FY2016,Minerva Mine,Open Cut,2111503
FY2017,Minerva Mine,Open Cut,2042128
FY2018,Minerva Mine,Open Cut,1820856
FY2019,Minerva Mine,Open Cut,1432154
FY2020,Minerva Mine,Open Cut,883397
FY2021,Minerva Mine,Open Cut,486519
FY2022,Minerva Mine,Open Cut,55419
FY2023,Minerva Mine,Open Cut,0
FY2024,Minerva Mine,Open Cut,0
FY2025,Minerva Mine,Open Cut,0
FY2010,Moorvale Mine,Open Cut,3184551
FY2011,Moorvale Mine,Open Cut,2394010
FY2012,Moorvale Mine,Open Cut,2399161
FY2013,Moorvale Mine,Open Cut,2481277
FY2014,Moorvale Mine,Open Cut,2587805
FY2015,Moorvale Mine,Open Cut,3057330
FY2016,Moorvale Mine,Open Cut,2213675
FY2017,Moorvale Mine,Open Cut,2292014
FY2018,Moorvale Mine,Open Cut,2640765
FY2019,Moorvale Mine,Open Cut,2521587
FY2020,Moorvale Mine,Open Cut,1613015
FY2021,Moorvale Mine,Open Cut,1739286
FY2022,Moorvale Mine,Open Cut,1452616
FY2023,Moorvale Mine,Open Cut,1956495
FY2024,Moorvale Mine,Open Cut,2140307
FY2025,Moorvale Mine,Open Cut,1999281
FY2010,Moranbah North Mine,Underground,3244636
FY2011,Moranbah North Mine,Underground,4635197
FY2012,Moranbah North Mine,Underground,2883647
FY2013,Moranbah North Mine,Underground,5129033
FY2014,Moranbah North Mine,Underground,5106924
FY2015,Moranbah North Mine,Underground,5418688
FY2016,Moranbah North Mine,Underground,4670419
FY2017,Moranbah North Mine,Underground,6057179
FY2018,Moranbah North Mine,Underground,7156305
FY2019,Moranbah North Mine,Underground,6367855
FY2020,Moranbah North Mine,Underground,6270721
FY2021,Moranbah North Mine,Underground,4395711
FY2022,Moranbah North Mine,Underground,3330614
FY2023,Moranbah North Mine,Underground,4984756
FY2024,Moranbah North Mine,Underground,3513457
FY2025,Moranbah North Mine,Underground,2229809
FY2010,Moura,Open Cut,7010516
FY2011,Moura,Open Cut,6486005
FY2012,Moura,Open Cut,9302882
FY2013,Moura,Open Cut,0
FY2014,Moura,Open Cut,0
FY2015,Moura,Open Cut,0
FY2016,Moura,Open Cut,0
FY2017,Moura,Open Cut,0
FY2018,Moura,Open Cut,0
FY2019,Moura,Open Cut,0
FY2020,Moura,Open Cut,0
FY2021,Moura,Open Cut,0
FY2022,Moura,Open Cut,0
FY2023,Moura,Open Cut,0
FY2024,Moura,Open Cut,0
FY2025,Moura,Open Cut,0
FY2010,New Acland,Open Cut,4618114
FY2011,New Acland,Open Cut,4544324
FY2012,New Acland,Open Cut,5183232
FY2013,New Acland,Open Cut,4604996
FY2014,New Acland,Open Cut,4881809
FY2015,New Acland,Open Cut,5123453
FY2016,New Acland,Open Cut,4594844
FY2017,New Acland,Open Cut,4717548
FY2018,New Acland,Open Cut,4471189
FY2019,New Acland,Open Cut,4144791
FY2020,New Acland,Open Cut,2989974
FY2021,New Acland,Open Cut,1789882
FY2022,New Acland,Open Cut,549612
FY2023,New Acland,Open Cut,0
FY2024,New Acland,Open Cut,856000
FY2025,New Acland,Open Cut,2639000
FY2010,New Burton Mine,Open Cut,0
FY2011,New Burton Mine,Open Cut,0
FY2012,New Burton Mine,Open Cut,0
FY2013,New Burton Mine,Open Cut,0
FY2014,New Burton Mine,Open Cut,0
FY2015,New Burton Mine,Open Cut,0
FY2016,New Burton Mine,Open Cut,0
FY2017,New Burton Mine,Open Cut,0
FY2018,New Burton Mine,Open Cut,0
FY2019,New Burton Mine,Open Cut,0
FY2020,New Burton Mine,Open Cut,0
FY2021,New Burton Mine,Open Cut,0
FY2022,New Burton Mine,Open Cut,0
FY2023,New Burton Mine,Open Cut,0
FY2024,New Burton Mine,Open Cut,651428
FY2025,New Burton Mine,Open Cut,1740332
FY2010,New Oakleigh Coal Mine,Open Cut,272902
FY2011,New Oakleigh Coal Mine,Open Cut,314962
FY2012,New Oakleigh Coal Mine,Open Cut,360762
FY2013,New Oakleigh Coal Mine,Open Cut,295279
FY2014,New Oakleigh Coal Mine,Open Cut,0
FY2015,New Oakleigh Coal Mine,Open Cut,0
FY2016,New Oakleigh Coal Mine,Open Cut,0
FY2017,New Oakleigh Coal Mine,Open Cut,0
FY2018,New Oakleigh Coal Mine,Open Cut,0
FY2019,New Oakleigh Coal Mine,Open Cut,0
FY2020,New Oakleigh Coal Mine,Open Cut,0
FY2021,New Oakleigh Coal Mine,Open Cut,0
FY2022,New Oakleigh Coal Mine,Open Cut,0
FY2023,New Oakleigh Coal Mine,Open Cut,0
FY2024,New Oakleigh Coal Mine,Open Cut,0
FY2025,New Oakleigh Coal Mine,Open Cut,0
FY2010,Newlands Mine,Open Cut,9804566
FY2011,Newlands Mine,Open Cut,8285953
FY2012,Newlands Mine,Open Cut,3933095
FY2013,Newlands Mine,Open Cut,4391805
FY2014,Newlands Mine,Open Cut,4146457
FY2015,Newlands Mine,Open Cut,4755414
FY2016,Newlands Mine,Open Cut,4191761
FY2017,Newlands Mine,Open Cut,5287171
FY2018,Newlands Mine,Open Cut,4761096
FY2019,Newlands Mine,Open Cut,2276723
FY2020,Newlands Mine,Open Cut,2786373
FY2021,Newlands Mine,Open Cut,3625931
FY2022,Newlands Mine,Open Cut,4679022
FY2023,Newlands Mine,Open Cut,3552615
FY2024,Newlands Mine,Open Cut,0
FY2025,Newlands Mine,Open Cut,0
FY2010,Northern Hub - Drake - Open Cut,Open Cut,0
FY2011,Northern Hub - Drake - Open Cut,Open Cut,0
FY2012,Northern Hub - Drake - Open Cut,Open Cut,0
FY2013,Northern Hub - Drake - Open Cut,Open Cut,0
FY2014,Northern Hub - Drake - Open Cut,Open Cut,0
FY2015,Northern Hub - Drake - Open Cut,Open Cut,476906
FY2016,Northern Hub - Drake - Open Cut,Open Cut,1934413
FY2017,Northern Hub - Drake - Open Cut,Open Cut,3605129
FY2018,Northern Hub - Drake - Open Cut,Open Cut,4099301
FY2019,Northern Hub - Drake - Open Cut,Open Cut,3315926
FY2020,Northern Hub - Drake - Open Cut,Open Cut,2712451
FY2021,Northern Hub - Drake - Open Cut,Open Cut,2862964
FY2022,Northern Hub - Drake - Open Cut,Open Cut,3285865
FY2023,Northern Hub - Drake - Open Cut,Open Cut,3327609
FY2024,Northern Hub - Drake - Open Cut,Open Cut,3105001
FY2025,Northern Hub - Drake - Open Cut,Open Cut,2814288
FY2010,Northern Hub - Jax - Open Cut,Open Cut,0
FY2011,Northern Hub - Jax - Open Cut,Open Cut,0
FY2012,Northern Hub - Jax - Open Cut,Open Cut,0
FY2013,Northern Hub - Jax - Open Cut,Open Cut,350139
FY2014,Northern Hub - Jax - Open Cut,Open Cut,140973
FY2015,Northern Hub - Jax - Open Cut,Open Cut,0
FY2016,Northern Hub - Jax - Open Cut,Open Cut,0
FY2017,Northern Hub - Jax - Open Cut,Open Cut,0
FY2018,Northern Hub - Jax - Open Cut,Open Cut,0
FY2019,Northern Hub - Jax - Open Cut,Open Cut,557694
FY2020,Northern Hub - Jax - Open Cut,Open Cut,1520132
FY2021,Northern Hub - Jax - Open Cut,Open Cut,1211181
FY2022,Northern Hub - Jax - Open Cut,Open Cut,1546100
FY2023,Northern Hub - Jax - Open Cut,Open Cut,1456514
FY2024,Northern Hub - Jax - Open Cut,Open Cut,1897076
FY2025,Northern Hub - Jax - Open Cut,Open Cut,1730166
FY2010,Northern Hub - Sonoma - Open Cut,Open Cut,3417724
FY2011,Northern Hub - Sonoma - Open Cut,Open Cut,3367535
FY2012,Northern Hub - Sonoma - Open Cut,Open Cut,3480336
FY2013,Northern Hub - Sonoma - Open Cut,Open Cut,2520190
FY2014,Northern Hub - Sonoma - Open Cut,Open Cut,3425193
FY2015,Northern Hub - Sonoma - Open Cut,Open Cut,3680597
FY2016,Northern Hub - Sonoma - Open Cut,Open Cut,2391185
FY2017,Northern Hub - Sonoma - Open Cut,Open Cut,1227241
FY2018,Northern Hub - Sonoma - Open Cut,Open Cut,506249
FY2019,Northern Hub - Sonoma - Open Cut,Open Cut,883145
FY2020,Northern Hub - Sonoma - Open Cut,Open Cut,677743
FY2021,Northern Hub - Sonoma - Open Cut,Open Cut,615570
FY2022,Northern Hub - Sonoma - Open Cut,Open Cut,0
FY2023,Northern Hub - Sonoma - Open Cut,Open Cut,0
FY2024,Northern Hub - Sonoma - Open Cut,Open Cut,0
FY2025,Northern Hub - Sonoma - Open Cut,Open Cut,0
FY2010,Norwich Park,Open Cut,3694577
FY2011,Norwich Park,Open Cut,2237621
FY2012,Norwich Park,Open Cut,2246521
FY2013,Norwich Park,Open Cut,0
FY2014,Norwich Park,Open Cut,0
FY2015,Norwich Park,Open Cut,0
FY2016,Norwich Park,Open Cut,0
FY2017,Norwich Park,Open Cut,0
FY2018,Norwich Park,Open Cut,0
FY2019,Norwich Park,Open Cut,0
FY2020,Norwich Park,Open Cut,0
FY2021,Norwich Park,Open Cut,0
FY2022,Norwich Park,Open Cut,0
FY2023,Norwich Park,Open Cut,0
FY2024,Norwich Park,Open Cut,0
FY2025,Norwich Park,Open Cut,0
FY2010,Oaky Creek Mine - Underground,Underground,10083640
FY2011,Oaky Creek Mine - Underground,Underground,8970526
FY2012,Oaky Creek Mine - Underground,Underground,7804524
FY2013,Oaky Creek Mine - Underground,Underground,7912000
FY2014,Oaky Creek Mine - Underground,Underground,8114746
FY2015,Oaky Creek Mine - Underground,Underground,6489484
FY2016,Oaky Creek Mine - Underground,Underground,6226090
FY2017,Oaky Creek Mine - Underground,Underground,6109866
FY2018,Oaky Creek Mine - Underground,Underground,4086520
FY2019,Oaky Creek Mine - Underground,Underground,5346604
FY2020,Oaky Creek Mine - Underground,Underground,4986770
FY2021,Oaky Creek Mine - Underground,Underground,3937476
FY2022,Oaky Creek Mine - Underground,Underground,3722274
FY2023,Oaky Creek Mine - Underground,Underground,3594514
FY2024,Oaky Creek Mine - Underground,Underground,4051360
FY2025,Oaky Creek Mine - Underground,Underground,3729875
FY2010,Olive Downs,Open Cut,0
FY2011,Olive Downs,Open Cut,0
FY2012,Olive Downs,Open Cut,0
FY2013,Olive Downs,Open Cut,0
FY2014,Olive Downs,Open Cut,0
FY2015,Olive Downs,Open Cut,0
FY2016,Olive Downs,Open Cut,0
FY2017,Olive Downs,Open Cut,0
FY2018,Olive Downs,Open Cut,0
FY2019,Olive Downs,Open Cut,0
FY2020,Olive Downs,Open Cut,0
FY2021,Olive Downs,Open Cut,0
FY2022,Olive Downs,Open Cut,0
FY2023,Olive Downs,Open Cut,0
FY2024,Olive Downs,Open Cut,1046361
FY2025,Olive Downs,Open Cut,3548995
FY2010,Peak Downs,Open Cut,8520074
FY2011,Peak Downs,Open Cut,6874692
FY2012,Peak Downs,Open Cut,7113213
FY2013,Peak Downs,Open Cut,9057249
FY2014,Peak Downs,Open Cut,9447472
FY2015,Peak Downs,Open Cut,10057840
FY2016,Peak Downs,Open Cut,9953571
FY2017,Peak Downs,Open Cut,12114440
FY2018,Peak Downs,Open Cut,12700185
FY2019,Peak Downs,Open Cut,11868765
FY2020,Peak Downs,Open Cut,11245561
FY2021,Peak Downs,Open Cut,11783128
FY2022,Peak Downs,Open Cut,8516992
FY2023,Peak Downs,Open Cut,8775181
FY2024,Peak Downs,Open Cut,6800799
FY2025,Peak Downs,Open Cut,7790833
FY2010,Poitrel Mine,Open Cut,2833324
FY2011,Poitrel Mine,Open Cut,2677755
FY2012,Poitrel Mine,Open Cut,2611206
FY2013,Poitrel Mine,Open Cut,2678304
FY2014,Poitrel Mine,Open Cut,3077544
FY2015,Poitrel Mine,Open Cut,3465230
FY2016,Poitrel Mine,Open Cut,3496334
FY2017,Poitrel Mine,Open Cut,3247468
FY2018,Poitrel Mine,Open Cut,3727890
FY2019,Poitrel Mine,Open Cut,4000341
FY2020,Poitrel Mine,Open Cut,4112251
FY2021,Poitrel Mine,Open Cut,3509371
FY2022,Poitrel Mine,Open Cut,3683065
FY2023,Poitrel Mine,Open Cut,3647665
FY2024,Poitrel Mine,Open Cut,4412251
FY2025,Poitrel Mine,Open Cut,4997448
FY2010,Rolleston Mine,Open Cut,6041824
FY2011,Rolleston Mine,Open Cut,5682429
FY2012,Rolleston Mine,Open Cut,9067259
FY2013,Rolleston Mine,Open Cut,9170866
FY2014,Rolleston Mine,Open Cut,11397007
FY2015,Rolleston Mine,Open Cut,10517938
FY2016,Rolleston Mine,Open Cut,13211391
FY2017,Rolleston Mine,Open Cut,13363957
FY2018,Rolleston Mine,Open Cut,15151556
FY2019,Rolleston Mine,Open Cut,14996556
FY2020,Rolleston Mine,Open Cut,14594027
FY2021,Rolleston Mine,Open Cut,11970364
FY2022,Rolleston Mine,Open Cut,13670053
FY2023,Rolleston Mine,Open Cut,13182354
FY2024,Rolleston Mine,Open Cut,12512614
FY2025,Rolleston Mine,Open Cut,11592802
FY2010,Saraji - Open Cut,Open Cut,6611656
FY2011,Saraji - Open Cut,Open Cut,5406914
FY2012,Saraji - Open Cut,Open Cut,5830283
FY2013,Saraji - Open Cut,Open Cut,6741739
FY2014,Saraji - Open Cut,Open Cut,8810018
FY2015,Saraji - Open Cut,Open Cut,9010721
FY2016,Saraji - Open Cut,Open Cut,8414880
FY2017,Saraji - Open Cut,Open Cut,9468661
FY2018,Saraji - Open Cut,Open Cut,10105916
FY2019,Saraji - Open Cut,Open Cut,9783658
FY2020,Saraji - Open Cut,Open Cut,9927353
FY2021,Saraji - Open Cut,Open Cut,8978887
FY2022,Saraji - Open Cut,Open Cut,9230158
FY2023,Saraji - Open Cut,Open Cut,9191567
FY2024,Saraji - Open Cut,Open Cut,6575825
FY2025,Saraji - Open Cut,Open Cut,8146603
FY2010,South Walker Creek,Open Cut,3608430
FY2011,South Walker Creek,Open Cut,3133619
FY2012,South Walker Creek,Open Cut,4050158
FY2013,South Walker Creek,Open Cut,4285671
FY2014,South Walker Creek,Open Cut,5083326
FY2015,South Walker Creek,Open Cut,5180097
FY2016,South Walker Creek,Open Cut,5231565
FY2017,South Walker Creek,Open Cut,5102306
FY2018,South Walker Creek,Open Cut,6030207
FY2019,South Walker Creek,Open Cut,6194034
FY2020,South Walker Creek,Open Cut,5414752
FY2021,South Walker Creek,Open Cut,4888048
FY2022,South Walker Creek,Open Cut,6347458
FY2023,South Walker Creek,Open Cut,6056473
FY2024,South Walker Creek,Open Cut,6349849
FY2025,South Walker Creek,Open Cut,6083219
FY2010,Vulcan Mine,Open Cut,0
FY2011,Vulcan Mine,Open Cut,0
FY2012,Vulcan Mine,Open Cut,0
FY2013,Vulcan Mine,Open Cut,0
FY2014,Vulcan Mine,Open Cut,0
FY2015,Vulcan Mine,Open Cut,0
FY2016,Vulcan Mine,Open Cut,0
FY2017,Vulcan Mine,Open Cut,0
FY2018,Vulcan Mine,Open Cut,0
FY2019,Vulcan Mine,Open Cut,0
FY2020,Vulcan Mine,Open Cut,0
FY2021,Vulcan Mine,Open Cut,0
FY2022,Vulcan Mine,Open Cut,719974
FY2023,Vulcan Mine,Open Cut,1214745
FY2024,Vulcan Mine,Open Cut,1402517
FY2025,Vulcan Mine,Open Cut,1206157
FY2010,Wilkie Creek Mine,Open Cut,1797063
FY2011,Wilkie Creek Mine,Open Cut,1142797
FY2012,Wilkie Creek Mine,Open Cut,1481445
FY2013,Wilkie Creek Mine,Open Cut,1698798
FY2014,Wilkie Creek Mine,Open Cut,608565
FY2015,Wilkie Creek Mine,Open Cut,0
FY2016,Wilkie Creek Mine,Open Cut,0
FY2017,Wilkie Creek Mine,Open Cut,0
FY2018,Wilkie Creek Mine,Open Cut,0
FY2019,Wilkie Creek Mine,Open Cut,0
FY2020,Wilkie Creek Mine,Open Cut,0
FY2021,Wilkie Creek Mine,Open Cut,0
FY2022,Wilkie Creek Mine,Open Cut,0
FY2023,Wilkie Creek Mine,Open Cut,12547
FY2024,Wilkie Creek Mine,Open Cut,212795
FY2025,Wilkie Creek Mine,Open Cut,0
FY2010,Wilton Coal Mine,Open Cut,0
FY2011,Wilton Coal Mine,Open Cut,0
FY2012,Wilton Coal Mine,Open Cut,0
FY2013,Wilton Coal Mine,Open Cut,0
FY2014,Wilton Coal Mine,Open Cut,0
FY2015,Wilton Coal Mine,Open Cut,0
FY2016,Wilton Coal Mine,Open Cut,0
FY2017,Wilton Coal Mine,Open Cut,0
FY2018,Wilton Coal Mine,Open Cut,0
FY2019,Wilton Coal Mine,Open Cut,0
FY2020,Wilton Coal Mine,Open Cut,0
FY2021,Wilton Coal Mine,Open Cut,0
FY2022,Wilton Coal Mine,Open Cut,0
FY2023,Wilton Coal Mine,Open Cut,0
FY2024,Wilton Coal Mine,Open Cut,37417
FY2025,Wilton Coal Mine,Open Cut,277081
FY2010,Yarrabee Mine,Open Cut,1820981
FY2011,Yarrabee Mine,Open Cut,1948909
FY2012,Yarrabee Mine,Open Cut,2053546
FY2013,Yarrabee Mine,Open Cut,2653670
FY2014,Yarrabee Mine,Open Cut,3316844
FY2015,Yarrabee Mine,Open Cut,3058317
FY2016,Yarrabee Mine,Open Cut,2908241
FY2017,Yarrabee Mine,Open Cut,3103557
FY2018,Yarrabee Mine,Open Cut,2709403
FY2019,Yarrabee Mine,Open Cut,2716496
FY2020,Yarrabee Mine,Open Cut,2973936
FY2021,Yarrabee Mine,Open Cut,2671608
