financial_year,mine,mine_type,saleable_production_tonnes
FY2018,Byerwen Coal Mine,Open Cut,1662522
FY2019,Byerwen Coal Mine,Open Cut,3177429
FY2020,Byerwen Coal Mine,Open Cut,4238610
FY2021,Byerwen Coal Mine,Open Cut,5200293
FY2022,Byerwen Coal Mine,Open Cut,4041280
FY2023,Byerwen Coal Mine,Open Cut,3597960
FY2024,Byerwen Coal Mine,Open Cut,4475191
FY2025,Byerwen Coal Mine,Open Cut,3304352
FY2010,Callide Mine,Open Cut,8757686
FY2011,Callide Mine,Open Cut,7795447
FY2012,Callide Mine,Open Cut,7911268
FY2013,Callide Mine,Open Cut,6810478
FY2014,Callide Mine,Open Cut,6514968
FY2015,Callide Mine,Open Cut,8129429
FY2016,Callide Mine,Open Cut,7837494
FY2017,Callide Mine,Open Cut,8394299
FY2018,Callide Mine,Open Cut,9776167
FY2019,Callide Mine,Open Cut,11322810
FY2020,Callide Mine,Open Cut,10257099
FY2021,Callide Mine,Open Cut,8533171
FY2022,Callide Mine,Open Cut,7593493
FY2023,Callide Mine,Open Cut,7135912
FY2024,Callide Mine,Open Cut,9323664
FY2025,Callide Mine,Open Cut,9981532
FY2010,Cameby Downs - Open Cut,Open Cut,0
FY2011,Cameby Downs - Open Cut,Open Cut,522850
FY2012,Cameby Downs - Open Cut,Open Cut,1410728
FY2013,Cameby Downs - Open Cut,Open Cut,1352916
FY2014,Cameby Downs - Open Cut,Open Cut,1471093
FY2015,Cameby Downs - Open Cut,Open Cut,1525083
FY2016,Cameby Downs - Open Cut,Open Cut,1834738
FY2017,Cameby Downs - Open Cut,Open Cut,1903782
FY2018,Cameby Downs - Open Cut,Open Cut,2020579
FY2019,Cameby Downs - Open Cut,Open Cut,2140706
FY2020,Cameby Downs - Open Cut,Open Cut,2064161
FY2021,Cameby Downs - Open Cut,Open Cut,2003280
FY2022,Cameby Downs - Open Cut,Open Cut,2006199
FY2023,Cameby Downs - Open Cut,Open Cut,2225666
FY2024,Cameby Downs - Open Cut,Open Cut,2616634
FY2025,Cameby Downs - Open Cut,Open Cut,2812600
FY2010,Capcoal Complex - Open Cut,Open Cut,5185554
FY2011,Capcoal Complex - Open Cut,Open Cut,3695666
FY2012,Capcoal Complex - Open Cut,Open Cut,5823421
FY2013,Capcoal Complex - Open Cut,Open Cut,5368041
FY2014,Capcoal Complex - Open Cut,Open Cut,5082537
FY2015,Capcoal Complex - Open Cut,Open Cut,5065542
FY2016,Capcoal Complex - Open Cut,Open Cut,4388407
FY2017,Capcoal Complex - Open Cut,Open Cut,3116273
FY2018,Capcoal Complex - Open Cut,Open Cut,3127680
FY2019,Capcoal Complex - Open Cut,Open Cut,3510779
FY2020,Capcoal Complex - Open Cut,Open Cut,4158374
FY2021,Capcoal Complex - Open Cut,Open Cut,3639783
FY2022,Capcoal Complex - Open Cut,Open Cut,2634579
FY2023,Capcoal Complex - Open Cut,Open Cut,3287094
FY2024,Capcoal Complex - Open Cut,Open Cut,3034825
FY2025,Capcoal Complex - Open Cut,Open Cut,3745810
FY2010,Capcoal Complex - Underground,Underground,2985079
FY2011,Capcoal Complex - Underground,Underground,3038402
FY2012,Capcoal Complex - Underground,Underground,2920219
FY2013,Capcoal Complex - Underground,Underground,2871157
FY2014,Capcoal Complex - Underground,Underground,4802929
FY2015,Capcoal Complex - Underground,Underground,6281913
FY2016,Capcoal Complex - Underground,Underground,7900809
FY2017,Capcoal Complex - Underground,Underground,5686654
FY2018,Capcoal Complex - Underground,Underground,5909168
FY2019,Capcoal Complex - Underground,Underground,5282424
FY2020,Capcoal Complex - Underground,Underground,4299648
FY2021,Capcoal Complex - Underground,Underground,5279169
FY2022,Capcoal Complex - Underground,Underground,4035387
FY2023,Capcoal Complex - Underground,Underground,2446131
FY2024,Capcoal Complex - Underground,Underground,3194790
FY2025,Capcoal Complex - Underground,Underground,3281490
FY2010,Carborough Downs,Underground,1164338
FY2011,Carborough Downs,Underground,1569185
FY2012,Carborough Downs,Underground,1476967
FY2013,Carborough Downs,Underground,2176053
FY2014,Carborough Downs,Underground,2220484
FY2015,Carborough Downs,Underground,2820349
FY2016,Carborough Downs,Underground,2352774
FY2017,Carborough Downs,Underground,2062010
FY2018,Carborough Downs,Underground,2047011
FY2019,Carborough Downs,Underground,2152774
FY2020,Carborough Downs,Underground,2213664
FY2021,Carborough Downs,Underground,3575185
FY2022,Carborough Downs,Underground,2201635
FY2023,Carborough Downs,Underground,2251993
FY2024,Carborough Downs,Underground,1369645
FY2025,Carborough Downs,Underground,843888
FY2010,Carmichael Coal Mine,Open Cut,0
FY2011,Carmichael Coal Mine,Open Cut,0
FY2012,Carmichael Coal Mine,Open Cut,0
FY2013,Carmichael Coal Mine,Open Cut,0
FY2014,Carmichael Coal Mine,Open Cut,0
FY2015,Carmichael Coal Mine,Open Cut,0
FY2016,Carmichael Coal Mine,Open Cut,0
FY2017,Carmichael Coal Mine,Open Cut,0
FY2018,Carmichael Coal Mine,Open Cut,0
FY2019,Carmichael Coal Mine,Open Cut,0
FY2020,Carmichael Coal Mine,Open Cut,0
FY2021,Carmichael Coal Mine,Open Cut,0
FY2022,Carmichael Coal Mine,Open Cut,1656891
FY2023,Carmichael Coal Mine,Open Cut,9001091
FY2024,Carmichael Coal Mine,Open Cut,11761090
FY2025,Carmichael Coal Mine,Open Cut,12573814
FY2010,Caval Ridge,Open Cut,0
FY2011,Caval Ridge,Open Cut,0
FY2012,Caval Ridge,Open Cut,0
FY2013,Caval Ridge,Open Cut,0
FY2014,Caval Ridge,Open Cut,1211535
FY2015,Caval Ridge,Open Cut,6292387
FY2016,Caval Ridge,Open Cut,6858986
FY2017,Caval Ridge,Open Cut,6292439
FY2018,Caval Ridge,Open Cut,8656357
FY2019,Caval Ridge,Open Cut,7923029
FY2020,Caval Ridge,Open Cut,8676346
FY2021,Caval Ridge,Open Cut,7803819
FY2022,Caval Ridge,Open Cut,9165928
FY2023,Caval Ridge,Open Cut,9363606
FY2024,Caval Ridge,Open Cut,8134360
FY2025,Caval Ridge,Open Cut,8409133
FY2010,Centurion Coal Mine,Underground,3233344
FY2011,Centurion Coal Mine,Underground,2760171
FY2012,Centurion Coal Mine,Underground,2447305
FY2013,Centurion Coal Mine,Underground,3332373
FY2014,Centurion Coal Mine,Underground,2100364
FY2015,Centurion Coal Mine,Underground,2599445
FY2016,Centurion Coal Mine,Underground,1954176
FY2017,Centurion Coal Mine,Underground,1678217
FY2018,Centurion Coal Mine,Underground,2879904
FY2019,Centurion Coal Mine,Underground,237093
FY2020,Centurion Coal Mine,Underground,0
FY2021,Centurion Coal Mine,Underground,0
FY2022,Centurion Coal Mine,Underground,0
FY2023,Centurion Coal Mine,Underground,0
FY2024,Centurion Coal Mine,Underground,0
FY2025,Centurion Coal Mine,Underground,365751
FY2010,Clermont Open Cut,Open Cut,529323
FY2011,Clermont Open Cut,Open Cut,6499001
FY2012,Clermont Open Cut,Open Cut,5592619
FY2013,Clermont Open Cut,Open Cut,10286880
FY2014,Clermont Open Cut,Open Cut,12135130
FY2015,Clermont Open Cut,Open Cut,12251401
FY2016,Clermont Open Cut,Open Cut,13647981
FY2017,Clermont Open Cut,Open Cut,11235268
FY2018,Clermont Open Cut,Open Cut,11264472
FY2019,Clermont Open Cut,Open Cut,11932998
FY2020,Clermont Open Cut,Open Cut,11120859
FY2021,Clermont Open Cut,Open Cut,7499559
FY2022,Clermont Open Cut,Open Cut,10850240
FY2023,Clermont Open Cut,Open Cut,9325925
FY2024,Clermont Open Cut,Open Cut,11422493
FY2025,Clermont Open Cut,Open Cut,11371232
FY2010,Collinsville - Open Cut,Open Cut,4251402
FY2011,Collinsville - Open Cut,Open Cut,3134521
FY2012,Collinsville - Open Cut,Open Cut,3614901
FY2013,Collinsville - Open Cut,Open Cut,3772193
FY2014,Collinsville - Open Cut,Open Cut,1755791
FY2015,Collinsville - Open Cut,Open Cut,3444439
FY2016,Collinsville - Open Cut,Open Cut,1471279
FY2017,Collinsville - Open Cut,Open Cut,1459834
FY2018,Collinsville - Open Cut,Open Cut,2592833
FY2019,Collinsville - Open Cut,Open Cut,3531449
FY2020,Collinsville - Open Cut,Open Cut,3833323
FY2021,Collinsville - Open Cut,Open Cut,1694055
FY2022,Collinsville - Open Cut,Open Cut,2431144
FY2023,Collinsville - Open Cut,Open Cut,2191726
FY2024,Collinsville - Open Cut,Open Cut,2736520
FY2025,Collinsville - Open Cut,Open Cut,2081202
FY2010,Commodore Coal Mine - Open Cut,Open Cut,3324889
FY2011,Commodore Coal Mine - Open Cut,Open Cut,3391141
FY2012,Commodore Coal Mine - Open Cut,Open Cut,2926960
FY2013,Commodore Coal Mine - Open Cut,Open Cut,3748951
FY2014,Commodore Coal Mine - Open Cut,Open Cut,3589317
FY2015,Commodore Coal Mine - Open Cut,Open Cut,3527723
FY2016,Commodore Coal Mine - Open Cut,Open Cut,3549217
FY2017,Commodore Coal Mine - Open Cut,Open Cut,3580869
FY2018,Commodore Coal Mine - Open Cut,Open Cut,3810086
FY2019,Commodore Coal Mine - Open Cut,Open Cut,3417400
FY2020,Commodore Coal Mine - Open Cut,Open Cut,3837490
FY2021,Commodore Coal Mine - Open Cut,Open Cut,3538101
FY2022,Commodore Coal Mine - Open Cut,Open Cut,3507034
FY2023,Commodore Coal Mine - Open Cut,Open Cut,3325442
FY2024,Commodore Coal Mine - Open Cut,Open Cut,3278000
FY2025,Commodore Coal Mine - Open Cut,Open Cut,2801910
FY2010,Cook Colliery Coal Mine,Underground,467219
FY2011,Cook Colliery Coal Mine,Underground,558000
FY2012,Cook Colliery Coal Mine,Underground,482947
FY2013,Cook Colliery Coal Mine,Underground,277892
FY2014,Cook Colliery Coal Mine,Underground,314369
FY2015,Cook Colliery Coal Mine,Underground,577999
FY2016,Cook Colliery Coal Mine,Underground,634463
FY2017,Cook Colliery Coal Mine,Underground,421792
FY2018,Cook Colliery Coal Mine,Underground,108542
FY2019,Cook Colliery Coal Mine,Underground,484019
FY2020,Cook Colliery Coal Mine,Underground,242286
FY2021,Cook Colliery Coal Mine,Underground,0
FY2022,Cook Colliery Coal Mine,Underground,19719
FY2023,Cook Colliery Coal Mine,Underground,171519
FY2024,Cook Colliery Coal Mine,Underground,70484
FY2025,Cook Colliery Coal Mine,Underground,231455
FY2010,Coppabella Open Cut Coal Mine,Open Cut,3648635
FY2011,Coppabella Open Cut Coal Mine,Open Cut,2808992
FY2012,Coppabella Open Cut Coal Mine,Open Cut,2673736
FY2013,Coppabella Open Cut Coal Mine,Open Cut,3931322
FY2014,Coppabella Open Cut Coal Mine,Open Cut,3791214
FY2015,Coppabella Open Cut Coal Mine,Open Cut,4085742
FY2016,Coppabella Open Cut Coal Mine,Open Cut,3170077
FY2017,Coppabella Open Cut Coal Mine,Open Cut,3242736
FY2018,Coppabella Open Cut Coal Mine,Open Cut,3631830
FY2019,Coppabella Open Cut Coal Mine,Open Cut,2694423
FY2020,Coppabella Open Cut Coal Mine,Open Cut,3240733
FY2021,Coppabella Open Cut Coal Mine,Open Cut,2391646
FY2022,Coppabella Open Cut Coal Mine,Open Cut,2889210
FY2023,Coppabella Open Cut Coal Mine,Open Cut,2512804
FY2024,Coppabella Open Cut Coal Mine,Open Cut,2723872
FY2025,Coppabella Open Cut Coal Mine,Open Cut,2059916
FY2010,Crinum,Underground,0
FY2011,Crinum,Underground,0
FY2012,Crinum,Underground,0
FY2013,Crinum,Underground,3343366
FY2014,Crinum,Underground,5999539
FY2015,Crinum,Underground,6586063
FY2016,Crinum,Underground,2630318
FY2017,Crinum,Underground,0
FY2018,Crinum,Underground,0
FY2019,Crinum,Underground,0
FY2020,Crinum,Underground,0
FY2021,Crinum,Underground,0
FY2022,Crinum,Underground,0
FY2023,Crinum,Underground,0
FY2024,Crinum,Underground,0
FY2025,Crinum,Underground,0
FY2010,Curragh - Opencut,Open Cut,9082799
FY2011,Curragh - Opencut,Open Cut,7852524
FY2012,Curragh - Opencut,Open Cut,10115222
FY2013,Curragh - Opencut,Open Cut,10633226
FY2014,Curragh - Opencut,Open Cut,12289923
FY2015,Curragh - Opencut,Open Cut,12244395
FY2016,Curragh - Opencut,Open Cut,10578879
FY2017,Curragh - Opencut,Open Cut,12027848
FY2018,Curragh - Opencut,Open Cut,12069964
FY2019,Curragh - Opencut,Open Cut,12250708
FY2020,Curragh - Opencut,Open Cut,11676254
FY2021,Curragh - Opencut,Open Cut,12210398
FY2022,Curragh - Opencut,Open Cut,10404216
FY2023,Curragh - Opencut,Open Cut,9652801
